Semester,Academic Year,Concert #,Performer,Date,Performer Type,Detailed Performance,Performance Type,Instrument,Index,Composer,Ugly,Composer Category,Composer Status,Arranger,Piece
Fall 2022,22-23 Academic Year,5,"Featuring Ashlin Parker, trumpet",9/21/22,Student,Ensemble,Ensemble,,6.4,Herbie Hancock/Stevie Wonder,"Hancock, Herbie",3,1,Edward Petersen,Chan’s Song (2020)
Fall 2022,22-23 Academic Year,5,"Featuring Ashlin Parker, trumpet",9/21/22,Student,Ensemble,Ensemble,,6.5,Harold Battiste,"Battiste, Harold",3,2,Edward Petersen,Harlis Laughing (2020)
Fall 2022,22-23 Academic Year,5,"Featuring Ashlin Parker, trumpet",9/21/22,Student,Ensemble,Ensemble,,6.6,Nat Perilliat,"Perilliat, Nat",3,2,Edward Petersen,Little Joy (2020)
Fall 2022,22-23 Academic Year,6,Miller & Leong,9/23/22,Faculty,Faculty Recital,Recital,Violin & Piano,4.1,Reena Esmail,"Esmail, Reena",4,1,,Charukeshi from Darshan (2019–20)
Fall 2022,22-23 Academic Year,6,Miller & Leong,9/23/22,Faculty,Faculty Recital,Recital,Violin & Piano,4.2,Ludwig van Beethoven,"Beethoven, Ludwig van",1,2,,"Violin Sonata in C minor, op. 30, no. 2 (1802)"
Fall 2022,22-23 Academic Year,6,Miller & Leong,9/23/22,Faculty,Faculty Recital,Recital,Violin & Piano,4.3,George Walker,"Walker, George",3,2,,Violin Sonata No. 1 (1958)
Fall 2022,22-23 Academic Year,6,Miller & Leong,9/23/22,Faculty,Faculty Recital,Recital,Violin & Piano,4.4,John Corigliano,"Corigliano, John",1,1,,Violin Sonata (1964)
Fall 2022,22-23 Academic Year,7,Concert Hour,9/23/22,Student,Concert Hour,Recital,,3.1,Antonio Vivaldi,"Vivaldi, Antonio",1,2,,"Bassoon Concerto in A minor, RV 499"
Fall 2022,22-23 Academic Year,7,Concert Hour,9/23/22,Student,Concert Hour,Recital,,3.2,Giuseppe Tartini,"Tartini, Giuseppe",1,2,Gordon Jacob,"Concertino IV (after movements from Violin Sonatas, op. 1)"
Fall 2022,22-23 Academic Year,7,Concert Hour,9/23/22,Student,Concert Hour,Recital,,3.3,Richard Strauss,"Strauss, Richard",1,2,,"Horn Concerto No. 1 in E-flat major, op. 11"
Fall 2022,22-23 Academic Year,8,"Jeffery Meyer, conductor-in-residence",9/24/22,Student,Ensemble,Ensemble,,3.1,Ruth Crawford Seeger,"Crawford Seeger, Ruth",,,,Rissolty Rossolty (1939)
Fall 2022,22-23 Academic Year,8,"Jeffery Meyer, conductor-in-residence",9/24/22,Student,Ensemble,Ensemble,,3.2,Missy Mazzoli,"Mazzoli, Missy",2,1,,Sinfonia (for Orbiting Spheres) (2014; 2016)
Fall 2022,22-23 Academic Year,8,"Jeffery Meyer, conductor-in-residence",9/24/22,Student,Ensemble,Ensemble,,3.3,Antonín Dvořák,"Dvořák, Antonín",1,2,,"Symphony No. 8 in G major, op. 88 (1889)"
Fall 2022,22-23 Academic Year,9,University Chorus and Pacific Singers,10/2/22,Student,Ensemble,Ensemble,,7.1,George Frideric Handel,"Handel, George Frideric",1,2,,Exceeding Glad Shall He Be (1727)
Fall 2022,22-23 Academic Year,9,University Chorus and Pacific Singers,10/2/22,Student,Ensemble,Ensemble,,7.2,Yosef Hadar,"Hadar, Yosef",1,2,Jack Klevanow,Erev shel shoshanim (1986)
Fall 2022,22-23 Academic Year,9,University Chorus and Pacific Singers,10/2/22,Student,Ensemble,Ensemble,,7.3,Traditional Indian Raga,Traditional Indian Raga,999,999,Ethan Sperry b. 1971,Desh (2006)
Fall 2022,22-23 Academic Year,9,University Chorus and Pacific Singers,10/2/22,Student,Ensemble,Ensemble,,7.4,Shawn Kirchner,"Kirchner, Shawn",1,1,,I’ll Be on My Way (2011)
Fall 2022,22-23 Academic Year,9,University Chorus and Pacific Singers,10/2/22,Student,Ensemble,Ensemble,,7.5,P.D.Q. Bach/Peter Schickele,"Schickele, Peter",1,2,,Liebeslieder Polkas (1981)
Fall 2022,22-23 Academic Year,9,University Chorus and Pacific Singers,10/2/22,Student,Ensemble,Ensemble,,7.6,Aaron Copland,"Copland, Aaron",1,2,Glenn Koponen,Zion’s Walls (1954)
Fall 2022,22-23 Academic Year,9,University Chorus and Pacific Singers,10/2/22,Student,Ensemble,Ensemble,,7.7,African Prayer for Peace,Traditional African Folk Song,,,André van der Merwe,Ukuthula (2011)
Fall 2022,22-23 Academic Year,10,Adams,10/3/22,Student,Student Recital,Recital,Bass,2.1,César Franck,"Franck, César",1,2,Eugene Levinson,Violin Sonata in A major (1886)
Fall 2022,22-23 Academic Year,10,Adams,10/3/22,Student,Student Recital,Recital,Bass,2.2,Giovanni Bottesini,"Bottesini, Giovanni",1,2,,Grande allegro di concerto “à la Mendelssohn”
Fall 2022,22-23 Academic Year,11,,10/15/22,Student,Pacific Prism,Recital,,13.1,Billy Joel,"Joel, Billy",1,1,,Allentown (1982)
Fall 2022,22-23 Academic Year,11,,10/15/22,Student,Pacific Prism,Recital,,13.1,Sonny Burke/Paul F. Webster,"Burke/Paul F. Webster, Sonny",,,,Black Coffee (1949)
Fall 2022,22-23 Academic Year,11,,10/15/22,Student,Pacific Prism,Recital,,13.1,Björk Guðmundsdóttir,"Guðmundsdóttir, Björk",2,1,,Dancer in the Dark (2000)
Fall 2022,22-23 Academic Year,11,,10/15/22,Student,Pacific Prism,Recital,,13.1,Reena Esmail,"Esmail, Reena",4,1,,Darshan-Charukeshi (2019)
Fall 2022,22-23 Academic Year,11,,10/15/22,Student,Pacific Prism,Recital,,13.1,Benj Pasek/Justin Paul,"Pasek, Benj and Paul, Justin",,,,This Is Me (2017)
Fall 2022,22-23 Academic Year,11,,10/15/22,Student,Pacific Prism,Recital,,13.2,Emmanuel Séjourné,"Séjourné, Emmanuel",1,1,,Akadinda Trio (2002)
Fall 2022,22-23 Academic Year,11,,10/15/22,Student,Pacific Prism,Recital,,13.3,Shawn Kirchner,"Kirchner, Shawn",1,1,,I’ll Be on My Way (2006)
Fall 2022,22-23 Academic Year,11,,10/15/22,Student,Pacific Prism,Recital,,13.4,Ellis Marsalis,"Marsalis, Ellis",3,2,,Swingin’ at the Hagen (1992)
Fall 2022,22-23 Academic Year,11,,10/15/22,Student,Pacific Prism,Recital,,13.5,Antonio Machado y Ruiz,"Machado y Ruiz, Antonio",1,2,,La plaza tiene una torre
Fall 2022,22-23 Academic Year,11,,10/15/22,Student,Pacific Prism,Recital,,13.6,Miguel del Aguila,"del Aguila, Miguel",3,1,,"Invisibles, op. 124 (2019)"
Fall 2022,22-23 Academic Year,11,,10/15/22,Student,Pacific Prism,Recital,,13.7,Fred Onovwerosuoke,"Onovwerosuoke, Fred",3,1,,Three Pieces for Woodwind Trio (2018)
Fall 2022,22-23 Academic Year,11,,10/15/22,Student,Pacific Prism,Recital,,13.8,Jelani Brown,"Brown, Jelani",3,1,,How Could I Forget (2020)
Fall 2022,22-23 Academic Year,11,,10/15/22,Student,Pacific Prism,Recital,,13.9,José Hernández,"Hernández, José",3,1,,El Rey de la Huasteca (2004)
Fall 2022,22-23 Academic Year,11,"Giovanni Santos, guest conductor, composer-in-residence",10/5/22,Student,Ensemble,Ensemble,,7.1,Björk Guðmundsdóttir,"Guðmundsdóttir, Björk",2,1,,Overture from Dancer in the Dark (2002)
Fall 2022,22-23 Academic Year,11,"Giovanni Santos, guest conductor, composer-in-residence",10/5/22,Student,Ensemble,Ensemble,,7.2,James David,"David, James M.",1,1,,Urban Light (2021)
Fall 2022,22-23 Academic Year,11,"Giovanni Santos, guest conductor, composer-in-residence",10/5/22,Student,Ensemble,Ensemble,,7.3,Giovanni Santos,"Santos, Giovanni",3,1,,Three Latin American Dances (2019)
Fall 2022,22-23 Academic Year,11,"Giovanni Santos, guest conductor, composer-in-residence",10/5/22,Student,Ensemble,Ensemble,,7.4,Gustav Holst,"Holst, Gustav",1,2,,"Suite No. 2 for Military Band in F major, op. 28, no. 2 (1911)"
Fall 2022,22-23 Academic Year,11,"Giovanni Santos, guest conductor, composer-in-residence",10/5/22,Student,Ensemble,Ensemble,,7.5,Mark Camphouse,"Camphouse, Mark",1,1,,A Movement for Rosa (1992)
Fall 2022,22-23 Academic Year,11,"Giovanni Santos, guest conductor, composer-in-residence",10/5/22,Student,Ensemble,Ensemble,,7.6,Martín Camps/Emilio Martínez,"Camps/Emilio Martínez, Martín",,,,"Poetry Reading: No ceses, César Chávez"
Fall 2022,22-23 Academic Year,11,"Giovanni Santos, guest conductor, composer-in-residence",10/5/22,Student,Ensemble,Ensemble,,7.7,Giovanni Santos,"Santos, Giovanni",3,1,,"Chávez, 1927* (2022) (World Premiere)"
Fall 2022,22-23 Academic Year,12,Bruckmann,10/19/22,Faculty,Faculty Recital,Recital,Oboe/English horn,7.1,Daniel Cueto,"Cueto, Daniel",3,1,,La peña y la luna I (2020)
Fall 2022,22-23 Academic Year,12,Bruckmann,10/19/22,Faculty,Faculty Recital,Recital,Oboe/English horn,7.2,Grażyna Bacewicz,"Bacewicz, Grażyna",2,2,,Sonatina for Oboe and Piano (1955)
Fall 2022,22-23 Academic Year,12,Bruckmann,10/19/22,Faculty,Faculty Recital,Recital,Oboe/English horn,7.3,Ulysses Kay,"Kay, Ulysses",3,2,,Pietá (1950)
Fall 2022,22-23 Academic Year,12,Bruckmann,10/19/22,Faculty,Faculty Recital,Recital,Oboe/English horn,7.4,Christopher Burns/Kyle Bruckmann,"Burns/Kyle Bruckmann, Christopher",,,,"Hide Self, View (2021)"
Fall 2022,22-23 Academic Year,12,Bruckmann,10/19/22,Faculty,Faculty Recital,Recital,Oboe/English horn,7.5,Jessie Cox,"Cox, Jessie",3,1,,AT(ou)M (2020)
Fall 2022,22-23 Academic Year,12,Bruckmann,10/19/22,Faculty,Faculty Recital,Recital,Oboe/English horn,7.6,Dana Reason,"Reason, Dana",2,1,,Chanson de fleurs: Eleanor of Aquitaine (2017)
Fall 2022,22-23 Academic Year,12,Bruckmann,10/19/22,Faculty,Faculty Recital,Recital,Oboe/English horn,7.7,Daniel Cueto,"Cueto, Daniel",3,1,,La peña y la luna II (2020)
Fall 2022,22-23 Academic Year,13,Concert Hour,10/21/22,Student,Concert Hour,Recital,,2.1,Aleksandr Goedicke,"Goedicke, Alexander",1,2,,"Trumpet Concerto in B-flat minor, op. 41 (1930)"
Fall 2022,22-23 Academic Year,13,Concert Hour,10/21/22,Student,Concert Hour,Recital,,2.2,Carl Reinecke,"Reinecke, Carl",1,2,,"Trio for Piano, Oboe, and Horn in A major, op. 188 (1887)"
Fall 2022,22-23 Academic Year,14,Pacific Opera Theatre,10/28/22,Student,Ensemble,Ensemble,,19.1,Frank Churchill,"Churchill, Frank",1,2,,Someday My Prince Will Come from Snow White (1937)
Fall 2022,22-23 Academic Year,14,Pacific Opera Theatre,10/28/22,Student,Ensemble,Ensemble,,29.1,Frederick Loewe,"Loewe, Frederick",1,2,,Follow Me from Camelot (1960)
Fall 2022,22-23 Academic Year,14,Pacific Opera Theatre,10/28/22,Student,Ensemble,Ensemble,,29.1,Mack David (1912–1993); Al Hoffman (1902–1960); Jerry Livingston (1909–1987),Various Composers,999,999,,A Dream Is a Wish Your Heart Makes from Cinderella (1950)
Fall 2022,22-23 Academic Year,14,Pacific Opera Theatre,10/28/22,Student,Ensemble,Ensemble,,29.1,Stephen Sondheim,"Sondheim, Stephen",1,1,,A Very Nice Prince from Into the Woods (1987)
Fall 2022,22-23 Academic Year,14,Pacific Opera Theatre,10/28/22,Student,Ensemble,Ensemble,,29.1,Stephen Sondheim,"Sondheim, Stephen",1,1,,Agony from Into the Woods (1987)
Fall 2022,22-23 Academic Year,14,Pacific Opera Theatre,10/28/22,Student,Ensemble,Ensemble,,29.1,Alan Menken,"Menken, Alan",1,2,,Prince Ali from Aladdin (1992)
Fall 2022,22-23 Academic Year,14,Pacific Opera Theatre,10/28/22,Student,Ensemble,Ensemble,,29.2,Sammy Fain,"Fain, Sammy",1,2,,Once Upon a Dream from Sleeping Beauty (1959)
Fall 2022,22-23 Academic Year,14,Pacific Opera Theatre,10/28/22,Student,Ensemble,Ensemble,,29.2,Richard Rodgers,"Rodgers, Richard",1,2,,Some Enchanted Evening from South Pacific (1949)
Fall 2022,22-23 Academic Year,14,Pacific Opera Theatre,10/28/22,Student,Ensemble,Ensemble,,29.2,Leigh Harline (1907–1969),"Harline, Leigh",1,2,,When You Wish Upon a Star from Pinocchio (1940)
Fall 2022,22-23 Academic Year,14,Pacific Opera Theatre,10/28/22,Student,Ensemble,Ensemble,,29.2,Claude-Michel Schönberg,"Schönberg, Claude-Michel",1,1,,Castle on a Cloud from Les Misérables (1985)
Fall 2022,22-23 Academic Year,14,Pacific Opera Theatre,10/28/22,Student,Ensemble,Ensemble,,29.2,Frederick Loewe,"Loewe, Frederick",1,2,,"Come to Me, Bend to Me from Brigadoon (1947)"
Fall 2022,22-23 Academic Year,14,Pacific Opera Theatre,10/28/22,Student,Ensemble,Ensemble,,29.2,Stephen Sondheim,"Sondheim, Stephen",1,1,,Prologue from Into the Woods (1987)
Fall 2022,22-23 Academic Year,14,Pacific Opera Theatre,10/28/22,Student,Ensemble,Ensemble,,29.2,Engelbert Humperdinck,"Humperdinck, Engelbert",1,2,,Gingerbread Castle Scene from Hänsel und Gretel (1893)
Fall 2022,22-23 Academic Year,14,Pacific Opera Theatre,10/28/22,Student,Ensemble,Ensemble,,29.2,Franz Lehár,"Lehár, Franz",1,2,,Vilja from The Merry Widow (1907)
Fall 2022,22-23 Academic Year,14,Pacific Opera Theatre,10/28/22,Student,Ensemble,Ensemble,,29.2,Stephen Sondheim,"Sondheim, Stephen",1,1,,It Takes Two from Into the Woods (1987)
Fall 2022,22-23 Academic Year,14,Pacific Opera Theatre,10/28/22,Student,Ensemble,Ensemble,,29.2,Robert Emmett Dolan,"Dolan, Robert Emmett",1,2,,That Old Black Magic from Star Spangled Rhythm (1942)
Fall 2022,22-23 Academic Year,14,Pacific Opera Theatre,10/28/22,Student,Ensemble,Ensemble,,29.2,Richard Rodgers,"Rodgers, Richard",1,2,,"Bewitched, Bothered and Bewildered from Pal Joey (1940)"
Fall 2022,22-23 Academic Year,14,Pacific Opera Theatre,10/28/22,Student,Ensemble,Ensemble,,29.3,Jay Hawkins,"Hawkins, Jay",3,2,,I Put a Spell on You from Nina Simone’s album I Put a Spell on You (1965)
Fall 2022,22-23 Academic Year,14,Pacific Opera Theatre,10/28/22,Student,Ensemble,Ensemble,,29.3,Stephen Sondheim,"Sondheim, Stephen",1,1,,The Last Midnight from Into the Woods (1987)
Fall 2022,22-23 Academic Year,14,Pacific Opera Theatre,10/28/22,Student,Ensemble,Ensemble,,29.3,Stephen Sondheim,"Sondheim, Stephen",1,1,,No One Is Alone from Into the Woods (1987)
Fall 2022,22-23 Academic Year,14,Pacific Opera Theatre,10/28/22,Student,Ensemble,Ensemble,,29.3,Charlie Smalls,"Smalls, Charlie",3,2,,If You Believe from The Wiz (1978)
Fall 2022,22-23 Academic Year,14,Pacific Opera Theatre,10/28/22,Student,Ensemble,Ensemble,,29.3,Jenny Bicks,"Bicks, Jenny",,,,This Is Me from The Greatest Showman (2017)
Fall 2022,22-23 Academic Year,14,Pacific Opera Theatre,10/28/22,Student,Ensemble,Ensemble,,29.3,Alan Menken,"Menken, Alan",1,2,,Belle from Beauty and the Beast (1991)
Fall 2022,22-23 Academic Year,14,Pacific Opera Theatre,10/28/22,Student,Ensemble,Ensemble,,29.4,Alan Menken,"Menken, Alan",1,2,,Be Our Guest from Beauty and the Beast (1991)
Fall 2022,22-23 Academic Year,14,Pacific Opera Theatre,10/28/22,Student,Ensemble,Ensemble,,29.5,Alan Menken,"Menken, Alan",1,2,,A Whole New World from Aladdin (2014)
Fall 2022,22-23 Academic Year,14,Pacific Opera Theatre,10/28/22,Student,Ensemble,Ensemble,,29.6,Randy Newman,"Newman, Randy",1,1,,You’ve Got a Friend in Me from Toy Story (1995)
Fall 2022,22-23 Academic Year,14,Pacific Opera Theatre,10/28/22,Student,Ensemble,Ensemble,,29.7,Alan Menken,"Menken, Alan",1,2,,You’ve Got a Friend in Me from Toy Story (1995)
Fall 2022,22-23 Academic Year,14,Pacific Opera Theatre,10/28/22,Student,Ensemble,Ensemble,,29.8,Germaine Franco,"Franco, Germaine",4,1,,Waiting on a Miracle from Encanto (2021)
Fall 2022,22-23 Academic Year,14,Pacific Opera Theatre,10/28/22,Student,Ensemble,Ensemble,,29.9,Camila Cabello,"Cabello, Camila",4,1,,Million to One from Cinderella (2015)
Fall 2022,22-23 Academic Year,14,Cuarteto Latinoamericano,10/23/22,Guest,Chamber,Chamber,,6.1,Heitor Villa-Lobos,"Villa-Lobos, Heitor",3,2,,"String quartet no. 17, w537 (1957)"
Fall 2022,22-23 Academic Year,14,Cuarteto Latinoamericano,10/23/22,Guest,Chamber,Chamber,,6.2,Carlos Gardel,"Gardel, Carlos",3,2,,Volver (1934)
Fall 2022,22-23 Academic Year,14,Cuarteto Latinoamericano,10/23/22,Guest,Chamber,Chamber,,6.3,Gardel,"Gardel, Carlos",3,2,,por una cabeza (1935)
Fall 2022,22-23 Academic Year,14,Cuarteto Latinoamericano,10/23/22,Guest,Chamber,Chamber,,6.4,Gabriela Ortiz,"Ortiz, Gabriela",4,1,,La Calaca (1997)
Fall 2022,22-23 Academic Year,14,Cuarteto Latinoamericano,10/23/22,Guest,Chamber,Chamber,,6.5,Francisco mignone,"mignone, Francisco",3,2,,"Ensaio no. 1, in b♭ minor (1958)"
Fall 2022,22-23 Academic Year,14,Cuarteto Latinoamericano,10/23/22,Guest,Chamber,Chamber,,6.6,Alberto Ginastera,"Ginastera, Alberto",3,2,,"String quartet no. 1, op. 20 (1948)"
Fall 2022,22-23 Academic Year,14,Pacific Opera Theatre,10/28/22,Student,Ensemble,Ensemble,,,Bill Condon,"Condon, Bill",1,2,,
Fall 2022,22-23 Academic Year,14,Pacific Opera Theatre,10/28/22,Student,Ensemble,Ensemble,,,Oscar Hammerstein II,"Hammerstein, Oscar",1,2,,
Fall 2022,22-23 Academic Year,14,Pacific Opera Theatre,10/28/22,Student,Ensemble,Ensemble,,,Scott Harris,"Harris, Scott",1,1,,
Fall 2022,22-23 Academic Year,14,Pacific Opera Theatre,10/28/22,Student,Ensemble,Ensemble,,,Lorenz Hart,"Hart, Lorenz",1,2,,
Fall 2022,22-23 Academic Year,14,Pacific Opera Theatre,10/28/22,Student,Ensemble,Ensemble,,,Jack Lawrence,"Lawrence, Jack",1,2,,
Fall 2022,22-23 Academic Year,14,Pacific Opera Theatre,10/28/22,Student,Ensemble,Ensemble,,,Ned Washington (1901–1976),"Washington, Ned",1,2,,
Fall 2022,22-23 Academic Year,15,Concert Hour,10/28/22,Student,Concert Hour,Recital,,5.1,Franz Liszt,"Liszt, Franz",1,2,,"Sonetto del Petrarca No. 104, LW A55/5 (c. 1846)"
Fall 2022,22-23 Academic Year,15,Concert Hour,10/28/22,Student,Concert Hour,Recital,,5.2,Davis Robinson,"Robinson, Davis",1,1,,Gloom
Fall 2022,22-23 Academic Year,15,Concert Hour,10/28/22,Student,Concert Hour,Recital,,5.3,Benny Golson,"Golson, Benny",3,2,,Whisper Not (1956)
Fall 2022,22-23 Academic Year,15,Concert Hour,10/28/22,Student,Concert Hour,Recital,,5.4,Bart Howard,"Howard, Bart",1,2,,Fly Me to the Moon (1954)
Fall 2022,22-23 Academic Year,15,Concert Hour,10/28/22,Student,Concert Hour,Recital,,5.5,Dmitri Shostakovich,"Shostakovich, Dmitri",1,2,,"String Quartet No. 7 in F-sharp minor, op. 108 (1960)"
Fall 2022,22-23 Academic Year,17,Kuster & Latta,11/2/22,Faculty,Faculty Recital,Recital,Bassoon & Percussion,5.1,Gene Koshinski,"Koshinski, Gene",1,1,,Get It! for bassoon and percussion (2007)
Fall 2022,22-23 Academic Year,17,Kuster & Latta,11/2/22,Faculty,Faculty Recital,Recital,Bassoon & Percussion,5.2,Andrew Beall,"Beall, Andrew",1,1,,"Song of ‘Almah for marimba and voice (2006, arr. for cello 2007)"
Fall 2022,22-23 Academic Year,17,Kuster & Latta,11/2/22,Faculty,Faculty Recital,Recital,Bassoon & Percussion,5.3,Nansi Carroll,"Carroll, Nansi",4,1,,Prelude and Reflections on Regina caeli
Fall 2022,22-23 Academic Year,17,Kuster & Latta,11/2/22,Faculty,Faculty Recital,Recital,Bassoon & Percussion,5.4,Keiko Abe,"Abe, Keiko",4,1,,Wind in the Bamboo Grove (1987)
Fall 2022,22-23 Academic Year,17,Kuster & Latta,11/2/22,Faculty,Faculty Recital,Recital,Bassoon & Percussion,5.5,Vinicio A. Mesa,"Mesa, Vinicio A. ",,,,Motivos for two bassoons and marimba (2000)
Fall 2022,22-23 Academic Year,18,Pacific Wind Bands,11/5/22,Student,Ensemble,Ensemble,,6.1,John Williams,"Williams, John",1,1,Jay Bocook,Symphonic Suite from Star Wars: The Force Awakens (2016)
Fall 2022,22-23 Academic Year,18,Pacific Wind Bands,11/5/22,Student,Ensemble,Ensemble,,6.2,Omar Thomas,"Thomas, Omar",3,1,,Shenandoah (2019)
Fall 2022,22-23 Academic Year,18,Pacific Wind Bands,11/5/22,Student,Ensemble,Ensemble,,6.3,Aaron Copland,"Copland, Aaron",1,2,,Lincoln Portrait (1942)
Fall 2022,22-23 Academic Year,18,Pacific Wind Bands,11/5/22,Student,Ensemble,Ensemble,,6.4,Cait Nishimura,"Nishimura, Cait",4,1,,Chasing Sunlight (2016)
Fall 2022,22-23 Academic Year,18,Pacific Wind Bands,11/5/22,Student,Ensemble,Ensemble,,6.5,Kimberly Archer,"Archer, Kimberly",2,1,,Fanfare Politeia (2021)
Fall 2022,22-23 Academic Year,18,Pacific Wind Bands,11/5/22,Student,Ensemble,Ensemble,,6.6,Steven Bryant,"Bryant, Steven",1,1,,Ecstatic Waters (2008)
Fall 2022,22-23 Academic Year,19,"Walter Smith III, saxophone",11/9/22,Student,Ensemble,Ensemble,Pacific Jazz Ensemble,8.1,Walter Smith III,"Smith III, Walter",3,1,Joe Mazzaferro,High Schoolish (2010)
Fall 2022,22-23 Academic Year,19,"Walter Smith III, saxophone",11/9/22,Student,Ensemble,Ensemble,Pacific Jazz Ensemble,8.2,Kurt Weill,"Weill, Kurt",1,2,,Speak Low (1943)
Fall 2022,22-23 Academic Year,19,"Walter Smith III, saxophone",11/9/22,Student,Ensemble,Ensemble,Pacific Jazz Ensemble,8.3,John Coltrane,"Coltrane, John",3,2,John Fedchock,Central Park West (1964)
Fall 2022,22-23 Academic Year,19,"Walter Smith III, saxophone",11/9/22,Student,Ensemble,Ensemble,Pacific Jazz Ensemble,8.4,Walter Smith III,"Smith III, Walter",3,1,,July (2019)
Fall 2022,22-23 Academic Year,19,"Walter Smith III, saxophone",11/9/22,Student,Ensemble,Ensemble,Pacific Jazz Ensemble,8.5,Donald Brown,"Brown, Donald",3,1,Bill Mobley,Affaire d’Amour (1995)
Fall 2022,22-23 Academic Year,19,"Walter Smith III, saxophone",11/9/22,Student,Ensemble,Ensemble,Pacific Jazz Ensemble,8.6,Joe Henderson,"Henderson, Joe",3,2,,Isotope (1964)
